Ticker,SimFinId,Date,Close,Volume,Shares Outstanding,Company Name,day_of_week,month,quarter,year,daily_return,ema_20,next_day_return,target_class,next_day_price
AAPL,111052,2019-05-22,45.7,118994224,18404300000.0,APPLE INC,2,5,2,2019,-2.0364415862808056,48.487246378332216,-1.7286652078774754,0,44.91
AAPL,111052,2019-05-23,44.91,146118944,18404300000.0,APPLE INC,3,5,2,2019,-1.7286652078774754,48.14655624706248,-0.3785348474727112,0,44.74
AAPL,111052,2019-05-24,44.74,94858744,18404300000.0,APPLE INC,4,5,2,2019,-0.3785348474727112,47.822122318770816,-0.40232454179704896,0,44.56
AAPL,111052,2019-05-28,44.56,111792640,18404300000.0,APPLE INC,1,5,2,2019,-0.40232454179704896,47.51144400269741,-0.4937163375224391,0,44.34
AAPL,111052,2019-05-29,44.34,113924660,18404300000.0,APPLE INC,2,5,2,2019,-0.4937163375224391,47.20940171672623,0.5412719891745487,1,44.58
AAPL,111052,2019-05-30,44.58,84873648,18404300000.0,APPLE INC,3,5,2,2019,0.5412719891745487,46.95898250560944,-1.8169582772543633,0,43.77
AAPL,111052,2019-05-31,43.77,108174336,18404300000.0,APPLE INC,4,5,2,2019,-1.8169582772543633,46.6552698860276,-1.0052547406899812,0,43.33
AAPL,111052,2019-06-03,43.33,161584276,18404300000.0,APPLE INC,0,6,2,2019,-1.0052547406899812,46.33857751592973,3.646434341103158,1,44.91
AAPL,111052,2019-06-04,44.91,123871844,18404300000.0,APPLE INC,1,6,2,2019,3.646434341103158,46.20252251441261,1.6032064128256647,1,45.63
AAPL,111052,2019-06-05,45.63,119093708,18404300000.0,APPLE INC,2,6,2,2019,1.6032064128256647,46.147996560659024,1.468332237562995,1,46.3
AAPL,111052,2019-06-06,46.3,90105244,18404300000.0,APPLE INC,3,6,2,2019,1.468332237562995,46.1624730786915,2.678185745140393,1,47.54
AAPL,111052,2019-06-07,47.54,122737572,18404300000.0,APPLE INC,4,6,2,2019,2.678185745140393,46.29366611881612,1.2831299957930153,1,48.15
